"time","cases_children","cases_adult"
1,4,0
2,1,0
3,5,1
4,2,0
5,5,2
6,6,0
7,1,5
8,2,0
9,0,2
10,2,1
11,3,4
12,3,0
13,5,4
14,7,2
15,7,4
16,18,3
17,9,5
18,23,2
19,12,7
20,8,4
21,7,10
22,16,7
23,12,9
24,13,10
25,26,6
26,17,6
27,23,8
28,18,14
29,15,11
30,15,13
31,28,26
32,20,13
33,13,11
34,21,17
35,15,10
36,21,22
37,25,19
38,10,11
39,14,8
40,22,5
41,12,22
42,32,24
43,17,19
44,19,13
45,22,13
46,8,29
47,10,14
48,9,22
49,9,9
50,12,16
51,8,11
52,15,8
53,18,16
54,12,7
55,21,17
56,6,6
57,3,9
58,6,10
59,12,12
60,9,18
61,5,10
62,7,12
63,4,3
64,3,2
65,3,2
66,0,6
67,11,2
68,0,8
69,2,7
70,6,3
71,14,6
72,2,4
73,4,5
74,0,3
75,3,1
76,2,2
77,1,2
78,2,1
79,0,6
80,1,3
81,0,2
82,3,2
83,0,4
84,0,0
85,2,0
86,3,3
87,0,0
88,0,0
89,2,0
90,0,2
91,0,1
92,3,0
93,1,1
94,7,1
95,1,0
96,5,0
97,0,1
98,0,1
99,0,1
100,1,0
